"source","target","color","type"
"Carvajal Sinisterra Gustavo Adolfo","Carvajal","#AAAAAA","curve"
"Tas Walter","Colpatria","#AAAAAA","curve"
"García-Moreno Elizondo Carlos José","Claro Móvil","#AAAAAA","curve"
"Rodríguez Cofre Daniel Alberto","Jumbo","#AAAAAA","curve"
"González Apango Fernando","Claro Móvil","#AAAAAA","curve"
"Moreno Zapata Paula Marcela","Emcali","#AAAAAA","curve"
"Rey Parra Carlos Arturo","EEB","#AAAAAA","curve"
"Pérez Dávila Carlos Alejandro","Bavaria","#AAAAAA","curve"
"Garcés Jordán Jorge","Terpel","#AAAAAA","curve"
"Gundermann Wylie Enrique","Sodimac","#AAAAAA","curve"
"Navarro Beltrán Eduardo","Terpel","#AAAAAA","curve"
"Zanotti Cavazzoni Mario Luis","Tigo","#AAAAAA","curve"
"Ljubetic Garib Leonardo","Terpel","#AAAAAA","curve"
"Arata Izquiel José Francisco","Pacific Rubiales","#AAAAAA","curve"
"Jaramillo Gómez Gabriel Arturo","Terpel","#AAAAAA","curve"
"Mejía González Jorge Alejandro","Colmotores","#AAAAAA","curve"
"Álvarez-Pallete López José María","Telefónica Colombia","#AAAAAA","curve"
"Cabrera Izquierdo Oscar","BBVA","#AAAAAA","curve"
"Chazarra Bernabe Pedro","Electricaribe","#AAAAAA","curve"
"Silva Salamanca Roberto","Orbis","#AAAAAA","curve"
"Ferreira Rueda Horacio","Ecopetrol","#AAAAAA","curve"
"Carvajal Bonnet Álvaro","Davivienda","#AAAAAA","curve"
"Zárate Sánchez Gabriel Humberto","Davivienda","#AAAAAA","curve"
"Aguirre Martínez Andrés","Protección","#AAAAAA","curve"
"Arango Vélez Luis Carlos","Protección","#AAAAAA","curve"
"Arroyave Lema Alberto","EPM","#AAAAAA","curve"
"Fernández Andrade Rubén Hernando","EPM","#AAAAAA","curve"
"Mejía Correa Manuel Santiago","Alkosto","#AAAAAA","curve"
"Vega Juan Lucas","Éxito","#AAAAAA","curve"
"Velásquez Botero Jaime Alberto","Suramericana Seguros de Vida","#AAAAAA","curve"
"Arango Uribe Carlos Guillermo","Davivienda","#AAAAAA","curve"
"Restrepo Londoño Andrés","Tigo","#AAAAAA","curve"
"Velásquez Cock Álvaro de Jesús","Banco de Bogotá","#AAAAAA","curve"
"Plata Paez Luis Guillermo","Bavaria","#AAAAAA","curve"
"Solbes Pons Francesc","Electricaribe","#AAAAAA","curve"
"Durán Martínez Camilo Francisco","Exxonmobil","#AAAAAA","curve"
"Gómez Pineda Goizueta Iñigo Iñigo","Colsanitas","#AAAAAA","curve"
"Efromovich Germán","Avianca","#AAAAAA","curve"
"Basset Eric Eloy","Jumbo","#AAAAAA","curve"
"Maiztegui Ricardo José","Tigo","#AAAAAA","curve"
"Cruells Ricardo Andrés","Colpatria","#AAAAAA","curve"
"Klurfan Eduardo Alberto","Colpatria","#AAAAAA","curve"
"Cardona Uribe José Fernando","Nueva EPS","#AAAAAA","curve"
"Pérez García Miguel Alberto","Colsubsidio","#AAAAAA","curve"
"Andueza Fouque Jorge","Terpel","#AAAAAA","curve"
"Krause Niclas Stefan","Jumbo","#AAAAAA","curve"
"Simancas Narváez Carlos Fidel","EEB","#AAAAAA","curve"
"Omaetxebarria Gainza José Domingo","BBVA","#AAAAAA","curve"
"Iragorri Rizo Mauricio","Banco de Occidente","#AAAAAA","curve"
"Otoya Rojas Juan Manuel","Electricaribe","#AAAAAA","curve"
"Bojanini García David Emilio","Bancolombia","#AAAAAA","curve"
"Ibáñez Londoño Ana María","Éxito","#AAAAAA","curve"
"Villa Gallo Boris","EEB","#AAAAAA","curve"
"Noero Arango Vicente","Codensa","#AAAAAA","curve"
"Perry Rubio Guillermo","Banco de Bogotá","#AAAAAA","curve"
"Ayerbe Muñoz Felipe","Éxito","#AAAAAA","curve"
"Ayerbe Muñoz Felipe","Éxito","#AAAAAA","curve"
"Ayerbe Muñoz Julio Manuel","Colpatria","#AAAAAA","curve"
"Arboleda Casas Sergio","Banco de Bogotá","#AAAAAA","curve"
"Archila Cabal Juan Carlos","Claro Móvil","#AAAAAA","curve"
"Arrieta Padilla Carlos Gustavo","Reficar","#AAAAAA","curve"
"Caballero Argáez Carlos","BBVA","#AAAAAA","curve"
"Goggel Bonilla Andrés","Alpina","#AAAAAA","curve"
"Hidalgo Salazar Andrés","Claro Móvil","#AAAAAA","curve"
"Hommes Rodríguez Rudolf","Bavaria","#AAAAAA","curve"
"Junguito Pombo Roberto","Carbones del Cerrejón","#AAAAAA","curve"
"Linares Martínez Jose Miguel","Drummond","#AAAAAA","curve"
"Pacheco Cortés Eduardo","Colpatria","#AAAAAA","curve"
"Pacheco Cortés Rodrigo","Colpatria","#AAAAAA","curve"
"Rodríguez Becerra Manuel Cipriano","Bavaria","#AAAAAA","curve"
"Salazar Mejía Federico","Davivienda","#AAAAAA","curve"
"Teicher Graunman León","Cementos Argos","#AAAAAA","curve"
"Uribe Arboleda Sergio","Banco de Bogotá","#AAAAAA","curve"
"Bonilla Otoya Liliana","Banco de Occidente","#AAAAAA","curve"
"Tamayo Arango Gustavo","Claro Móvil","#AAAAAA","curve"
"Alarcón Mantilla Luis Fernando","ISA","#AAAAAA","curve"
"Aparicio Smith Mónica","Avianca","#AAAAAA","curve"
"Carrizosa Calle Martín","Colpatria","#AAAAAA","curve"
"Cifuentes Muñoz Felipe","BBVA","#AAAAAA","curve"
"De Francisco Valenzuela Camilo","Promigás","#AAAAAA","curve"
"Dussán Villaveces Manuel Ignacio","Celsia","#AAAAAA","curve"
"Fernández González Juan Pablo","Alpina","#AAAAAA","curve"
"Gómez Cerón Gustavo","Codensa","#AAAAAA","curve"
"Gómez Restrepo Hernando José","Bancolombia","#AAAAAA","curve"
"Gutiérrez Pemberthy Javier Genaro","Ecopetrol","#AAAAAA","curve"
"Lafaurie Rivera Luisa Fernanda","Éxito","#AAAAAA","curve"
"Maldonado Umaña Mauricio","Promigás","#AAAAAA","curve"
"Nova Estrada Martín","Éxito","#AAAAAA","curve"
"Peláez Arango Álvaro","Davivienda","#AAAAAA","curve"
"Ramírez Galindo Gustavo","Promigás","#AAAAAA","curve"
"Reina Echeverri Mauricio","Nutresa","#AAAAAA","curve"
"Rosales Navarro Pedro Alfonso","Ecopetrol","#AAAAAA","curve"
"Rosales Navarro Pedro","Reficar","#AAAAAA","curve"
"Sánchez Benítez Ramiro Hernando","Biomax","#AAAAAA","curve"
"Santos Mera Jaime Eduardo","Colpatria","#AAAAAA","curve"
"Sintes Ulloa María del Rosario","Colpatria","#AAAAAA","curve"
"Soto Losada Carolina","Isagen","#AAAAAA","curve"
"Suárez Esparragoza Javier José","Davivienda","#AAAAAA","curve"
"Villaveces Pardo Ricardo","Banco de Occidente","#AAAAAA","curve"
"Zaccour Urdinola Alejandro","Carvajal","#AAAAAA","curve"
"Yanovich Farbaiarz Isaac","Avianca","#AAAAAA","curve"
"Cárdenas Santamaría Mauricio","Ecopetrol","#AAAAAA","curve"
"Escovar Gómez Sylvia","Terpel","#AAAAAA","curve"
"González Estrada Tomás","Ecopetrol","#AAAAAA","curve"
"Mallarino Flórez Gonzalo","Alpina","#AAAAAA","curve"
"Steiner Sampedro Roberto Ricardo","Bancolombia","#AAAAAA","curve"
"Barreto Barrios Jose Carlos","Terpel","#AAAAAA","curve"
"Carrasquilla Barrera Alberto","Colsanitas","#AAAAAA","curve"
"Eraso Calero Carlos Fernando","Isagen","#AAAAAA","curve"
"Gutiérrez Botero Maria Lorena","Positiva Seguros de Vida","#AAAAAA","curve"
"Leiva Villamizar Oscar Armando","Positiva Seguros de Vida","#AAAAAA","curve"
"Meza Campuzano Camilo Andrés","Positiva Seguros de Vida","#AAAAAA","curve"
"Moreno Restrepo Ernesto","Codensa","#AAAAAA","curve"
"Pardo Brigard Miguel","Sodimac","#AAAAAA","curve"
"Restrepo Montoya Andres","Positiva Seguros de Vida","#AAAAAA","curve"
"Rincón Angulo Alfredo Eduardo","Coomeva","#AAAAAA","curve"
"Rivera Hernández Álvaro José","Compensar","#AAAAAA","curve"
"Sánchez Vaca Alejandro","EEB","#AAAAAA","curve"
"Campillo Orozco Mauricio","Orbis","#AAAAAA","curve"
"Carvajal Restrepo Luis Eduardo","Nutresa","#AAAAAA","curve"
"Giraldo Moreno Carlos Mario","Éxito","#AAAAAA","curve"
"Jaramillo Arango Martha Lilian","Nutresa","#AAAAAA","curve"
"Maya Maya Gabriel Ricardo","EPM","#AAAAAA","curve"
"Pérez Rojas Gonzalo Alberto","Bancolombia","#AAAAAA","curve"
"Pérez Rojas Gonzalo Alberto","Bancolombia","#AAAAAA","curve"
"González González Lucia Margarita","Nutresa","#AAAAAA","curve"
"Sarmiento Gutiérrez Luis Carlos","Banco de Bogotá","#AAAAAA","curve"
"Mejía Cardona Andrés Felipe","Protección","#AAAAAA","curve"
"Reinoso Yánez Reyes","Reficar","#AAAAAA","curve"
"Harries Grant James","Bavaria","#AAAAAA","curve"
"Restrepo Gallego Beatriz","EPM","#AAAAAA","curve"
"Alloway Mark","Davivienda","#AAAAAA","curve"
"Arbeláez Bolaños Fernando","EEB","#AAAAAA","curve"
"Gaviria Muñoz Simón","Ecopetrol","#AAAAAA","curve"
"Lippert Karl Gunther","Bavaria","#AAAAAA","curve"
"Chaveryriat Roca Frédéric","Terpel","#AAAAAA","curve"
"Kriete Ávila Roberto","Avianca","#AAAAAA","curve"
"Escudero Gómez Juan Rafael","BBVA","#AAAAAA","curve"
"Galindo Vélez Joaquin","Emgesa","#AAAAAA","curve"
"Nasser Selman Freddy Antonio","Biomax","#AAAAAA","curve"
"Álvarez-Calderón Meléndez Guillermo","Colpatria","#AAAAAA","curve"
"Solesbury Jonathan Frederick","Bavaria","#AAAAAA","curve"
"Heins Finkenstaedt Guillermo","Grupo Argos","#AAAAAA","curve"
"Saa Navia Gilberto","Banco de Occidente","#AAAAAA","curve"
"Bejarano Gutiérrez de Piñeres Claudia","Carbones del Cerrejón","#AAAAAA","curve"
"Char Chaljub Antonio","Olímpica","#AAAAAA","curve"
"Jaramillo Buitrago Álvaro Enrique","Avianca","#AAAAAA","curve"
"Celia Martínez-Aparicio Gian Piero","Olímpica","#AAAAAA","curve"
"Pardo Hasche Hilda María","Claro Móvil","#AAAAAA","curve"
"Vargas Lleras José Antonio","Codensa","#AAAAAA","curve"
"Betancourt Azcárate Claudia Beatriz","Cementos Argos","#AAAAAA","curve"
"Betancourt Azcárate Claudia Beatriz","Cementos Argos","#AAAAAA","curve"
"Córdoba Garces Rosario","Grupo Argos","#AAAAAA","curve"
"Raffo Palau Álvaro Pío","Emcali","#AAAAAA","curve"
"De Greiff Lindo Monica","Nueva EPS","#AAAAAA","curve"
"Fajardo Pinto Ernesto","Alpina","#AAAAAA","curve"
"Jaramillo Martínez Guillermo Alfonso","EEB","#AAAAAA","curve"
"Mesa Zuleta María Luisa","Celsia","#AAAAAA","curve"
"Moreno Pineda Luis Carlos","Colsubsidio","#AAAAAA","curve"
"Restrepo Abondano José Manuel","Colsubsidio","#AAAAAA","curve"
"Robledo Uribe Juan María","Porvenir","#AAAAAA","curve"
"Otero Álvarez Efraín","Banco de Occidente","#AAAAAA","curve"
"Quintero Balcázar Bernardo","Carvajal","#AAAAAA","curve"
"Arana Velasco Alfredo","Coomeva","#AAAAAA","curve"
"Acevedo Zuluaga Jorge Ignacio","Suramericana Seguros de Vida","#AAAAAA","curve"
"Agudelo Arango Ever","Suramericana Seguros de Vida","#AAAAAA","curve"
"Arango Uribe Ana Cristina","Grupo Argos","#AAAAAA","curve"
"Arango Mesa Sol Beatriz","Protección","#AAAAAA","curve"
"Aristizábal Restrepo María Clara","Nutresa","#AAAAAA","curve"
"Bernal Correa Andrés","Protección","#AAAAAA","curve"
"Botero Soto Juan Fernando","Nutresa","#AAAAAA","curve"
"Calle Restrepo Juan Esteban","EPM","#AAAAAA","curve"
"Gallego Palacio Carlos Ignacio","Grupo Argos","#AAAAAA","curve"
"Gaviria Correa Aníbal","EPM","#AAAAAA","curve"
"Londoño Posada Juan Guillermo","Celsia","#AAAAAA","curve"
"Martínez Villegas Rafael","Bancolombia","#AAAAAA","curve"
"Osorio Hurtado Sergio Andrés","Grupo Argos","#AAAAAA","curve"
"Palacio Botero Jaime Alberto","Nutresa","#AAAAAA","curve"
"Sierra Fernández Ricardo Andrés","Celsia","#AAAAAA","curve"
"Sierra Moreno Ricardo","Bancolombia","#AAAAAA","curve"
"Toro Bridge Mauricio","Protección","#AAAAAA","curve"
"Velásquez Echeverri Alberto","Nutresa","#AAAAAA","curve"
"Yanovich Mizrach Jacky","Éxito","#AAAAAA","curve"
"Zuluaga Palacio Luis Javier","Nutresa","#AAAAAA","curve"
"Paz Bautista Carlos Arcesio","Banco de Bogotá","#AAAAAA","curve"
"De Mares Colom Alfonso","Electricaribe","#AAAAAA","curve"
"Díez Gómez Carlos Mario","Éxito","#AAAAAA","curve"
"Escobar Miguel Fernando","Postobón","#AAAAAA","curve"
"Merlano Alcocer Alberto","EAAB","#AAAAAA","curve"
"Obregón Trujillo Ricardo Emilio","Orbis","#AAAAAA","curve"
"Rey Mora Dario","Familia","#AAAAAA","curve"
"Da Silva Nogueira Filipe","Éxito","#AAAAAA","curve"
"Von Hauske Solís Oscar","Claro Móvil","#AAAAAA","curve"
"Fonseca Arenas Sandra Stella","Codensa","#AAAAAA","curve"
"Luna Cabrera Carlos Alberto","Emgesa","#AAAAAA","curve"
"Beuls Marc","Tigo","#AAAAAA","curve"
"Velásquez Jaramillo Jorge Mario","Cementos Argos","#AAAAAA","curve"
"Efromovich José","Avianca","#AAAAAA","curve"
"Strasser Arnaud","Éxito","#AAAAAA","curve"
"Pasquier Bernard","Davivienda","#AAAAAA","curve"
"Dyner Rezonow Bernardo","Terpel","#AAAAAA","curve"
"Toledo Marco Antonio","Petrobras","#AAAAAA","curve"
"De Avila Benítez Isabel Cristina","Caprecom","#AAAAAA","curve"
"Parra Satizábal Carlos Alberto","Electricaribe","#AAAAAA","curve"
"Sánchez Jaramillo Óscar","ETB","#AAAAAA","curve"
"Petro Urrego Gustavo Francisco","EAAB","#AAAAAA","curve"
"Zamora Ávila Martha Lucía","EAAB","#AAAAAA","curve"
"Castellanos Reyes Erick Camilo","Claro Móvil","#AAAAAA","curve"
"Gallego Vásquez Juan Esteban","Alpina","#AAAAAA","curve"
"Múnera Posada Juan Fernando","Terpel","#AAAAAA","curve"
"Azevedo  Duarte Nilo","Petrobras","#AAAAAA","curve"
"Klepacz Eduardo","Avianca","#AAAAAA","curve"
"Gallo Restrepo Luis Gonzalo","ISA","#AAAAAA","curve"
"Carvajal Cabal Alberto","Carvajal","#AAAAAA","curve"
"Varela González Adolfo","Banco de Occidente","#AAAAAA","curve"
"De la Espriella Ossio Alfonso","Banco de Bogotá","#AAAAAA","curve"
"Benavides Estévez-Breton Juan","Celsia","#AAAAAA","curve"
"Roncallo Cabal Carlos Alberto","Alpina","#AAAAAA","curve"
"Ardila Gaviria Antonio José","Postobón","#AAAAAA","curve"
"Santo Domingo Dávila Alejandro","Bavaria","#AAAAAA","curve"
"Fuentes Pablo","Familia","#AAAAAA","curve"
"Cuestas Gómez Jose Mauricio","Positiva Seguros de Vida","#AAAAAA","curve"
"Mesa Manrique Luis Alberto","Colmotores","#AAAAAA","curve"
"Castellanos Rodríguez Claudia Lucía","EEB","#AAAAAA","curve"
"Torres Macías Álvaro","Codensa","#AAAAAA","curve"
"Castillo Jaramillo Gustavo Efrnaín","CocaCola Femsa","#AAAAAA","curve"
"Bialer Alexander","Avianca","#AAAAAA","curve"
"Dirube Santiago","Colpatria","#AAAAAA","curve"
"Elizondo  Jaime","Cemex","#AAAAAA","curve"
"González Fernando","Cemex","#AAAAAA","curve"
"Jacks Carlos","Cemex","#AAAAAA","curve"
"Zambrano Triviño Lorenzo","Cemex","#AAAAAA","curve"
"Martínez Dumitrache","Familia","#AAAAAA","curve"
"Cortés Gómez Salvador Francisco","Claro Móvil","#AAAAAA","curve"
"Resende Murssa Sara Regina","Colmotores","#AAAAAA","curve"
"Valencia Cossio Luis Ramiro","Avianca","#AAAAAA","curve"
"Abello Vives Camilo José","Cementos Argos","#AAAAAA","curve"
"Amador Andrade Mauricio","Protección","#AAAAAA","curve"
"Cárdenas Müller Mauricio","Porvenir","#AAAAAA","curve"
"Cuberos De Las Casas Felipe Andrés","Colpatria","#AAAAAA","curve"
"Fernández de Soto Valderrama Néstor","Colsubsidio","#AAAAAA","curve"
"Morris Rincón Juan Pablo","ETB","#AAAAAA","curve"
"Pinzón Sánchez Jorge Gabino","Ecopetrol","#AAAAAA","curve"
"Gutiérrez Vergara Mauricio","Banco de Occidente","#AAAAAA","curve"
"Ardila Duarte Rafael","Porvenir","#AAAAAA","curve"
"Barrero Varela Silvia","CocaCola Femsa","#AAAAAA","curve"
"Berrío Zapata Douglas","Porvenir","#AAAAAA","curve"
"Bravo Restrepo Oscar Andres","Terpel","#AAAAAA","curve"
"Coronado Orjuela María Eugenia","Gas Natural","#AAAAAA","curve"
"Coronado Orjuela María Eugenia","Gas Natural","#AAAAAA","curve"
"Cortázar Mora Beatriz","Alpina","#AAAAAA","curve"
"Cortés Arango Gloria Inés","Reficar","#AAAAAA","curve"
"Duarte Duarte Mauricio Alfonso","ETB","#AAAAAA","curve"
"Esguerra Portocarrero Juan Carlos","Isagen","#AAAAAA","curve"
"Flórez Camacho Enrique","Davivienda","#AAAAAA","curve"
"Forero Fonseca Efraín Enrique","Davivienda","#AAAAAA","curve"
"García Cañizares Juan Carlos","Bavaria","#AAAAAA","curve"
"Gaviria Jansa Ricardo","Cerromatoso","#AAAAAA","curve"
"Giraldo Bejarano Juan Pablo","Terpel","#AAAAAA","curve"
